;;;;;
Terim;İngilizce;Açıklaması;İlgili Yazı;;
Mikro-Servis Mimarisi;Microserivce Architecture;Mikro servis kavramındaki temel bakış servislerin mikro olmasından çok anlamlı ve tek bir iş mantığımı sağlıyor olmasıdır. Aynı zamanda yönetilebilir küçük bir takım tarafından geliştirilebilir olması önem verilen bir noktadır. Mikro servis mimarisi aslında dağıtık mimarinin temel faydalarından faydalanmak üzere gelişmiştir. Servisler birbirinden bağımsız şekilde yüklenebilir. Bir servis istenmeden kapandığında diğer servisleri etkilemez. Kritik servisler birden fazla kopya çalıştırılarak genişleyebilen yapı sağlanır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimari-tasar%C4%B1m-kal%C4%B1plar%C4%B1-94a4f47d32a8;;
Mimari Erozyon;Architectural Erosion;projenin ileri ki aşamalarında takvim sıkışıklığı, yazılımcı değişikliği gibi faktörler ile mimari kararlar doğru şekilde yazılıma aktarılmaz yada mevcut bir özellik istenmeden bozulur.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimarinin-evrimi-3-yeniden-d%C3%BCzenleme-yada-yeniden-yazma-a54205e0ac19;;
Mimari Kaygılar;Architectural Concerns;"
Mimari kaygılar ise alınması gereken tasarım kararlarını ifade eder. Örnek olarak alınan verinin doğrulaması, iletişim mekanizmaları, verinin yedeğinin alınması ve hata yönetimi sayılabilir.";https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-2-mimari-gereksinimler-bf010e41f99c;;
Mimari Ödün Analizi Metodu;(Architectural Tradeoff Analysis Method-ATAM;ATAM incelenen mimarinin potansiyel risklerini, ödünleşim ve duyarlılık noktalarını tespit eden bir yazılım mimarisi değerlendirme ve analiz etme yöntemidir. ATAM, alınan tasarım kararlarının sonuçlarını sistemden beklenen kalite öznitelikleri doğrultusunda değerlendirmeyi amaçlar.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-9-mimarinin-de%C4%9Ferlendirilmesi-8c0657c514b7;;
Olay Fırtınası; Event Stroming;İş alanını daha iyi analiz edilerek fonksiyonel gereksinimlerin oluşturulması hedefleyen bir yöntemdir. Bu yaklaşım son zamanlarda (İş alanı Tabanlı Tasarım (Domain Driven Design) için etkin olarak kullanılmaktadır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/kalite-%C3%B6znitelikleri-%C3%A7al%C4%B1%C5%9Ftay%C4%B1-ya-da-kalite-fikir-f%C4%B1rt%C4%B1nas%C4%B1-a521409c7a23;;
Oyun fırtınası;Game-Storming;Bir konuda ilgili bütün paydaşların bir araya gelerek problemi yaratıcı bir şekilde oyun yöntemi ile analiz edip çözüm üretmeyi hedefler. Yaratıcılığı ve paydaşlar arası sahiplenmeyi arttırdığı için son yıllarda aktif olarak tercih edilmektedir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/kalite-%C3%B6znitelikleri-%C3%A7al%C4%B1%C5%9Ftay%C4%B1-ya-da-kalite-fikir-f%C4%B1rt%C4%B1nas%C4%B1-a521409c7a23;;
Paydaş;Stakeholder;Yazılım mimarisinin paydaşları mimari ile ilgisi olan geliştirici, test mühendisi, kullanıcı, üst yönetim gibi kişilerden oluşur. Bir yazılım için paydaşları belirler iken, “yazılımdan kimler etkilenecek” ve “kimler yazılımı etkileyecek” soruları sorulur. ;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-temel-kavramlar-4de64353b4ac;;
Performans;Performance;Yazılımın zaman ile ilgili ilgili gereksinimleri sağlama özelliğidir. Bir olay olduğunda sistemin tamamı yada bir bölümü bu olaya belirlenen zamanda cevap vermesi beklenir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-notlar%C4%B1-4-performans-kalite-%C3%B6zniteli%C4%9Fi-2c7345d924e3;;
Referans mimariler;Reference Architectures;"Referans mimariler ise belirli bir alandaki yazılım mimarisinin ihtiyaçlarına karşılık veren ve genelde birden fazla tasarım kalıbını içeren bütünsel bir mimaridir. Belirli bir referans mimariyi temel alan yazılımcı referans mimaride tanımlı katmanlar içerisinde referans mimaride tanımlı bileşenleri ve bu bileşenler arasında ise yine tanımlı ilişkileri kurar.
";https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-temel-kavramlar-4de64353b4ac;;
Servis Tabanlı Mimari;Service Oriented Architecture; farklı kabiliyetler servis olarak geliştirilmekte ve istemcilerin istekleri bu servislere iletildiğinde ilgili servis diğer servislerden tanımlı ara yüzler üzerinden hizmet alarak istemcinin ihtiyacını karşılamaktadır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimari-tasar%C4%B1m-kal%C4%B1plar%C4%B1-94a4f47d32a8;;
Sıfırdan Tasarım;Greenfield System;Yazılım tasarımı tamamen yeni bir alanda yapılıyor ise mimari tasarım çok daha yaratıcı ve zorlayıcı olabilmektedir. Bu tür sistemlerin tasarımına sıfırdan tasarım denmektedir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarileri-5-kalite-%C3%B6znitelikleri-tabanl%C4%B1-tasar%C4%B1m-fb38d79376f3;;
Süreklilik;Availability;Süreklilik kalite özniteliği bir sistemin ihtiyaç duyulduğunda kullanılabilir ve faydalanılabilir olma derecesidir. ;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-notlar%C4%B1-3-s%C3%BCreklilik-kalite-%C3%B6zniteli%C4%9Fi-c3566777e66c;;
Taktikler;Tactics;Mimari taktikler temel seviyedeki çözüm teknikleridir. Yazılım geliştiriciler bu temel seviyedeki taktikleri yıllardır kullanmaktadır. Örneğin yazılımın performansını arttırmak için verinin birden fazla kopyasını tutma, kaynakları arttırma, koşut çalışmayı sağlama kullanılabilecek taktikler arasındadır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-temel-kavramlar-4de64353b4ac;;
Teknik Borç;Technical Debt;İdeal olmayan kod, tasarım yada mimari, bir problemi çözmek için kullandığınız kestirme yol veya dikkate almadığımız hata veya operasyonel durumların sonradan tespit edilip kodda düzeltilmesi ekstra maliyet getirecektir. Bu durum finansal sistemden esinlenerek teknik borç olarak nitelendirilir. ;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimarinin-evrimi-1-teknik-bor%C3%A7-nedir-e87d89fe12de;;
Teslim Zamanı  ;Deadline;Bir işin bitmesi gereken en son zamanı belirtir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-notlar%C4%B1-4-performans-kalite-%C3%B6zniteli%C4%9Fi-2c7345d924e3;;
Test Edilebilir Tasarım ;Design for Testability;Tasarımın içine test ile ilgili özelliklerin eklenmesidir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarileri-8-test-edilebilir-tasar%C4%B1m-ff558effa027;;
Test edilebilirlik;Testability;Test edilebilirlik kalite özniteliği bir yazılımın hatalarının test ile ne kadar kolay yakalanabileceği ölçüsüdür. Test Edilebilirlik kalite özniteliğinin öncelikle gözlenebilirlik, kontrol edilebilirlik ve boyutsal küçüklük kalite özniteliklerinin ile alakalıdır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarileri-8-test-edilebilir-tasar%C4%B1m-ff558effa027;;
Uyumluluk;Cohession;"Bileşen içi uyumluluk ile ilgili sınıflandırma aşağıdaki gibidir:
Tesadüfi Uyumluluk alakasız elementlerin aynı bileşen içinde yer almasıdır.
Mantıksal uyumluluk mantıksal olarak benzer fakat yöntemsel olarak farklı işlemlerin bir arada bulunmasıdır. 
Zamansal uyumlulukta aynı zaman içinde/ sırasında yapılacak işler aynı bileşen içinde yer alır.
Yordam Uyumluluğu işleme sırası peş peşe olan işlemler aynı bileşen içinde yer alır. 
Haberleşme uyumluluğunda aynı girdi üzerine işlem yapan elemanlar aynı bileşende yer alır.
Fonksiyonel uyumlulukta tek bir fonksiyonu yerine getiren işlemler aynı bileşen içinde yer almaktadır. Bu ideal durumdur.";https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/tasar%C4%B1m%C4%B1n-temelleri-2-ba%C4%9F%C4%B1ml%C4%B1l%C4%B1k-ve-uyumluluk-tasar%C4%B1m-prensipleri-20e28490e985;;
Yazılım Mimarileri;Software Architecture;"""";https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-temel-kavramlar-4de64353b4ac;;
Yeniden düzenleme;Refactor;Yeniden düzenleme yazılımın iç yapısının düzeltilirken dış davranışının aynı kalması olarak tanımlanmaktadır. Mimari yeniden düzenlemede ise amaç sistemin değiştirilebilirlik, performans, test edilebilirlik, değiştire bilirlik,bakım yapılabilirlik ve süreklilik gibi kalite öz niteliklerini iyileştirmek olacaktır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimarinin-evrimi-2-teknik-bor%C3%A7-nas%C4%B1l-%C3%B6denir-35f993a7e95c;;
;;;;;
;;;;;
